T/1	Light/1	Pupil/3			PupilUpregulated/3			
298	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
299	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
300	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
301	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
302	1.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
303	1.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
304	1.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
305	1.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
306	1.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
307	1.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
308	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
309	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
310	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
311	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
312	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
313	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
314	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
315	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
316	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
317	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
318	0.0000	0.0000	0.0000	0.7422	0.0000	0.0000	0.7422	
319	0.0000	0.0000	0.0000	0.7420	0.0000	0.0000	0.7419	
320	0.0000	0.0000	0.0000	0.7417	0.0000	0.0000	0.7414	
321	0.0000	0.0000	0.0000	0.7411	0.0000	0.0000	0.7405	
322	0.0000	0.0000	0.0000	0.7401	0.0000	0.0000	0.7390	
323	0.0000	0.0000	0.0000	0.7386	0.0000	0.0000	0.7368	
324	0.0000	0.0000	0.0000	0.7367	0.0000	0.0000	0.7339	
325	0.0000	0.0000	0.0000	0.7343	0.0000	0.0000	0.7303	
326	0.0000	0.0000	0.0000	0.7314	0.0000	0.0000	0.7260	
327	0.0000	0.0000	0.0000	0.7281	0.0000	0.0000	0.7210	
328	0.0000	0.0000	0.0000	0.7244	0.0000	0.0000	0.7155	
329	0.0000	0.0000	0.0000	0.7204	0.0000	0.0000	0.7096	
330	0.0000	0.0000	0.0000	0.7162	0.0000	0.0000	0.7033	
331	0.0000	0.0000	0.0000	0.7119	0.0000	0.0000	0.6968	
332	0.0000	0.0000	0.0000	0.7074	0.0000	0.0000	0.6901	
333	0.0000	0.0000	0.0000	0.7029	0.0000	0.0000	0.6834	
334	0.0000	0.0000	0.0000	0.6984	0.0000	0.0000	0.6766	
335	0.0000	0.0000	0.0000	0.6939	0.0000	0.0000	0.6700	
336	0.0000	0.0000	0.0000	0.6896	0.0000	0.0000	0.6636	
337	0.0000	0.0000	0.0000	0.6854	0.0000	0.0000	0.6573	
338	0.0000	0.0000	0.0000	0.6814	0.0000	0.0000	0.6514	
339	0.0000	0.0000	0.0000	0.6776	0.0000	0.0000	0.6458	
340	0.0000	0.0000	0.0000	0.6740	0.0000	0.0000	0.6405	
341	0.0000	0.0000	0.0000	0.6707	0.0000	0.0000	0.6356	
342	0.0000	0.0000	0.0000	0.6677	0.0000	0.0000	0.6311	
343	0.0000	0.0000	0.0000	0.6649	0.0000	0.0000	0.6270	
344	0.0000	0.0000	0.0000	0.6624	0.0000	0.0000	0.6233	
345	0.0000	0.0000	0.0000	0.6602	0.0000	0.0000	0.6200	
346	0.0000	0.0000	0.0000	0.6583	0.0000	0.0000	0.6172	
347	0.0000	0.0000	0.0000	0.6567	0.0000	0.0000	0.6148	
348	0.0000	0.0000	0.0000	0.6553	0.0000	0.0000	0.6127	
349	0.0000	0.0000	0.0000	0.6542	0.0000	0.0000	0.6111	
350	0.0000	0.0000	0.0000	0.6534	0.0000	0.0000	0.6099	
351	0.0000	0.0000	0.0000	0.6528	0.0000	0.0000	0.6090	
352	0.0000	0.0000	0.0000	0.6525	0.0000	0.0000	0.6085	
353	0.0000	0.0000	0.0000	0.6524	0.0000	0.0000	0.6083	
354	0.0000	0.0000	0.0000	0.6525	0.0000	0.0000	0.6084	
355	0.0000	0.0000	0.0000	0.6527	0.0000	0.0000	0.6089	
356	0.0000	0.0000	0.0000	0.6532	0.0000	0.0000	0.6096	
357	0.0000	0.0000	0.0000	0.6539	0.0000	0.0000	0.6105	
358	0.0000	0.0000	0.0000	0.6547	0.0000	0.0000	0.6117	
359	0.0000	0.0000	0.0000	0.6557	0.0000	0.0000	0.6131	
360	0.0000	0.0000	0.0000	0.6567	0.0000	0.0000	0.6147	
361	0.0000	0.0000	0.0000	0.6580	0.0000	0.0000	0.6165	
362	0.0000	0.0000	0.0000	0.6593	0.0000	0.0000	0.6185	
